Kohl's Quarterly Net Income (Millions of US $),Kohl's Quarterly Net Income (Millions of US $).1
2024-07-31,$66
2024-04-30,$-27
2024-01-31,$186
2023-10-31,$59
2023-07-31,$58
2023-04-30,$14
2023-01-31,$-273
2022-10-31,$97
2022-07-31,$143
2022-04-30,$14
2022-01-31,$299
2021-10-31,$243
2021-07-31,$382
2021-04-30,$14
2021-01-31,$343
2020-10-31,$-12
2020-07-31,$47
2020-04-30,$-541
2020-01-31,$265
2019-10-31,$123
2019-07-31,$241
2019-04-30,$62
2019-01-31,$273
2018-10-31,$161
2018-07-31,$292
2018-04-30,$75
2018-01-31,$468
2017-10-31,$117
2017-07-31,$208
2017-04-30,$66
2017-01-31,$253
2016-10-31,$146
2016-07-31,$140
2016-04-30,$17
2016-01-31,$296
2015-10-31,$120
2015-07-31,$130
2015-04-30,$127
2015-01-31,$368
2014-10-31,$142
2014-07-31,$232
2014-04-30,$125
2014-01-31,$334
2013-10-31,$177
2013-07-31,$231
2013-04-30,$147
2013-01-31,$377
2012-10-31,$215
2012-07-31,$240
2012-04-30,$154
2012-01-31,$456
2011-10-31,$211
2011-07-31,$299
2011-04-30,$201
2011-01-31,$490
2010-10-31,$176
2010-07-31,$255
2010-04-30,$199
2010-01-31,$414
2009-10-31,$193
2009-07-31,$229
2009-04-30,$137
2009-01-31,$336
