Graco Quarterly Net Income (Millions of US $),Graco Quarterly Net Income (Millions of US $).1
2024-06-30,$133
2024-03-31,$122
2023-12-31,$110
2023-09-30,$133
2023-06-30,$134
2023-03-31,$129
2022-12-31,$126
2022-09-30,$116
2022-06-30,$117
2022-03-31,$101
2021-12-31,$120
2021-09-30,$104
2021-06-30,$110
2021-03-31,$106
2020-12-31,$115
2020-09-30,$114
2020-06-30,$29
2020-03-31,$73
2019-12-31,$85
2019-09-30,$84
2019-06-30,$88
2019-03-31,$87
2018-12-31,$74
2018-09-30,$93
2018-06-30,$89
2018-03-31,$86
2017-12-31,$36
2017-09-30,$75
2017-06-30,$80
2017-03-31,$61
2016-12-31,$-104
2016-09-30,$54
2016-06-30,$51
2016-03-31,$40
2015-12-31,$54
2015-09-30,$51
2015-06-30,$173
2015-03-31,$69
2014-12-31,$49
2014-09-30,$60
2014-06-30,$66
2014-03-31,$51
2013-12-31,$45
2013-09-30,$56
2013-06-30,$58
2013-03-31,$52
2012-12-31,$42
2012-09-30,$37
2012-06-30,$34
2012-03-31,$35
2011-12-31,$30
2011-09-30,$37
2011-06-30,$38
2011-03-31,$37
2010-12-31,$27
2010-09-30,$30
2010-06-30,$25
2010-03-31,$21
2009-12-31,$17
2009-09-30,$17
2009-06-30,$12
2009-03-31,$3
