"Western Midstream Partners, LP Quarterly Net Income (Millions of US $)","Western Midstream Partners, LP Quarterly Net Income (Millions of US $).1"
2024-06-30,$370
2024-03-31,$560
2023-12-31,$282
2023-09-30,$271
2023-06-30,$247
2023-03-31,$199
2022-12-31,$329
2022-09-30,$260
2022-06-30,$300
2022-03-31,$302
2021-12-31,$238
2021-09-30,$250
2021-06-30,$226
2021-03-31,$182
2020-12-31,$258
2020-09-30,$241
2020-06-30,$268
2020-03-31,$-251
2019-12-31,$282
2019-09-30,$121
2019-06-30,$169
2019-03-31,$90
2018-12-31,$93
2018-09-30,$107
2018-06-30,$68
2018-03-31,$101
2017-12-31,$100
2017-09-30,$96
2017-06-30,$105
2017-03-31,$76
2016-12-31,$84
2016-09-30,$91
2016-06-30,$89
2016-03-31,$70
2015-12-31,$-31
2015-09-30,$89
2015-06-30,$69
2015-03-31,$-41
2014-12-31,$57
2014-09-30,$60
2014-06-30,$55
2014-03-31,$50
2013-12-31,$49
2013-09-30,$44
2013-06-30,$35
2013-03-31,$27
2012-12-31,
2012-09-30,$19
2011-12-31,
