Trinity Industries Quarterly Net Income (Millions of US $),Trinity Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$54
2024-03-31,$24
2023-12-31,$63
2023-09-30,$22
2023-06-30,$17
2023-03-31,$4
2022-12-31,$31
2022-09-30,$26
2022-06-30,$4
2022-03-31,$-1
2021-12-31,$134
2021-09-30,$32
2021-06-30,$13
2021-03-31,$3
2020-12-31,$-127
2020-09-30,$25
2020-06-30,$-207
2020-03-31,$162
2019-12-31,$22
2019-09-30,$49
2019-06-30,$36
2019-03-31,$31
2018-12-31,$27
2018-09-30,$28
2018-06-30,$64
2018-03-31,$40
2017-12-31,$539
2017-09-30,$67
2017-06-30,$51
2017-03-31,$46
2016-12-31,$68
2016-09-30,$84
2016-06-30,$95
2016-03-31,$97
2015-12-31,$200
2015-09-30,$204
2015-06-30,$212
2015-03-31,$180
2014-12-31,$138
2014-09-30,$149
2014-06-30,$164
2014-03-31,$226
2013-12-31,$113
2013-09-30,$100
2013-06-30,$84
2013-03-31,$79
2012-12-31,$75
2012-09-30,$63
2012-06-30,$64
2012-03-31,$53
2011-12-31,$58
2011-09-30,$31
2011-06-30,$29
2011-03-31,$24
2010-12-31,$17
2010-09-30,$30
2010-06-30,$18
2010-03-31,$2
2009-12-31,$15
2009-09-30,$23
2009-06-30,$-209
2009-03-31,$34
