Werner Enterprises Quarterly Net Income (Millions of US $),Werner Enterprises Quarterly Net Income (Millions of US $).1
2024-06-30,$9
2024-03-31,$6
2023-12-31,$24
2023-09-30,$24
2023-06-30,$30
2023-03-31,$35
2022-12-31,$60
2022-09-30,$55
2022-06-30,$72
2022-03-31,$54
2021-12-31,$77
2021-09-30,$64
2021-06-30,$72
2021-03-31,$46
2020-12-31,$61
2020-09-30,$46
2020-06-30,$39
2020-03-31,$23
2019-12-31,$48
2019-09-30,$39
2019-06-30,$43
2019-03-31,$36
2018-12-31,$55
2018-09-30,$48
2018-06-30,$38
2018-03-31,$28
2017-12-31,$141
2017-09-30,$23
2017-06-30,$23
2017-03-31,$16
2016-12-31,$22
2016-09-30,$19
2016-06-30,$18
2016-03-31,$20
2015-12-31,$37
2015-09-30,$32
2015-06-30,$32
2015-03-31,$23
2014-12-31,$33
2014-09-30,$26
2014-06-30,$26
2014-03-31,$14
2013-12-31,$22
2013-09-30,$21
2013-06-30,$26
2013-03-31,$18
2012-12-31,$26
2012-09-30,$25
2012-06-30,$31
2012-03-31,$21
2011-12-31,$29
2011-09-30,$30
2011-06-30,$28
2011-03-31,$16
2010-12-31,$24
2010-09-30,$24
2010-06-30,$21
2010-03-31,$11
2009-12-31,$18
2009-09-30,$19
2009-06-30,$13
2009-03-31,$7
