Arrow Electronics Quarterly Net Income (Millions of US $),Arrow Electronics Quarterly Net Income (Millions of US $).1
2024-06-30,$109
2024-03-31,$84
2023-12-31,$195
2023-09-30,$199
2023-06-30,$237
2023-03-31,$274
2022-12-31,$349
2022-09-30,$342
2022-06-30,$370
2022-03-31,$365
2021-12-31,$371
2021-09-30,$290
2021-06-30,$241
2021-03-31,$206
2020-12-31,$236
2020-09-30,$166
2020-06-30,$133
2020-03-31,$50
2019-12-31,$112
2019-09-30,$92
2019-06-30,$-549
2019-03-31,$141
2018-12-31,$231
2018-09-30,$177
2018-06-30,$170
2018-03-31,$139
2017-12-31,$54
2017-09-30,$134
2017-06-30,$100
2017-03-31,$115
2016-12-31,$165
2016-09-30,$118
2016-06-30,$134
2016-03-31,$106
2015-12-31,$158
2015-09-30,$109
2015-06-30,$124
2015-03-31,$106
2014-12-31,$116
2014-09-30,$147
2014-06-30,$128
2014-03-31,$107
2013-12-31,$135
2013-09-30,$97
2013-06-30,$90
2013-03-31,$78
2012-12-31,$175
2012-09-30,$104
2012-06-30,$114
2012-03-31,$114
2011-12-31,$174
2011-09-30,$132
2011-06-30,$156
2011-03-31,$136
2010-12-31,$158
2010-09-30,$119
2010-06-30,$116
2010-03-31,$87
2009-12-31,$63
2009-09-30,$13
2009-06-30,$21
2009-03-31,$27
