Group 1 Automotive Quarterly Net Income (Millions of US $),Group 1 Automotive Quarterly Net Income (Millions of US $).1
2024-06-30,$135
2024-03-31,$145
2023-12-31,$121
2023-09-30,$160
2023-06-30,$166
2023-03-31,$154
2022-12-31,$174
2022-09-30,$190
2022-06-30,$191
2022-03-31,$197
2021-12-31,$103
2021-09-30,$166
2021-06-30,$185
2021-03-31,$99
2020-12-31,$97
2020-09-30,$122
2020-06-30,$29
2020-03-31,$29
2019-12-31,$43
2019-09-30,$37
2019-06-30,$49
2019-03-31,$39
2018-12-31,$30
2018-09-30,$34
2018-06-30,$55
2018-03-31,$35
2017-12-31,$107
2017-09-30,$29
2017-06-30,$38
2017-03-31,$33
2016-12-31,$30
2016-09-30,$34
2016-06-30,$45
2016-03-31,$33
2015-12-31,$-32
2015-09-30,$44
2015-06-30,$45
2015-03-31,$34
2014-12-31,$18
2014-09-30,$25
2014-06-30,$16
2014-03-31,$30
2013-12-31,$21
2013-09-30,$31
2013-06-30,$36
2013-03-31,$21
2012-12-31,$16
2012-09-30,$30
2012-06-30,$27
2012-03-31,$22
2011-12-31,$21
2011-09-30,$20
2011-06-30,$23
2011-03-31,$14
2010-12-31,$11
2010-09-30,$19
2010-06-30,$13
2010-03-31,$8
2009-12-31,$-4
2009-09-30,$18
2009-06-30,$10
2009-03-31,$8
