JBG SMITH Properties Quarterly Net Income (Millions of US $),JBG SMITH Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$-24
2024-03-31,$-32
2023-12-31,$-33
2023-09-30,$-58
2023-06-30,$-11
2023-03-31,$21
2022-12-31,$-19
2022-09-30,$-19
2022-06-30,$123
2022-03-31,$-0
2021-12-31,$-56
2021-09-30,$1
2021-06-30,$-3
2021-03-31,$-21
2020-12-31,$-46
2020-09-30,$-23
2020-06-30,$-37
2020-03-31,$43
2019-12-31,$34
2019-09-30,$9
2019-06-30,$-3
2019-03-31,$25
2018-12-31,$-2
2018-09-30,$23
2018-06-30,$21
2018-03-31,$-4
2017-12-31,$-20
2017-09-30,$-70
2017-06-30,$11
2017-03-31,$6
2016-12-31,
2016-09-30,$21
2016-06-30,$17
2015-12-31,
