AutoZone Quarterly Net Income (Millions of US $),AutoZone Quarterly Net Income (Millions of US $).1
2024-05-31,$652
2024-02-29,$515
2023-11-30,$593
2023-08-31,$865
2023-05-31,$648
2023-02-28,$477
2022-11-30,$539
2022-08-31,$810
2022-05-31,$593
2022-02-28,$472
2021-11-30,$555
2021-08-31,$786
2021-05-31,$596
2021-02-28,$346
2020-11-30,$442
2020-08-31,$740
2020-05-31,$343
2020-02-29,$299
2019-11-30,$350
2019-08-31,$565
2019-05-31,$406
2019-02-28,$295
2018-11-30,$351
2018-08-31,$400
2018-05-31,$367
2018-02-28,$290
2017-11-30,$281
2017-08-31,$434
2017-05-31,$332
2017-02-28,$237
2016-11-30,$278
2016-08-31,$427
2016-05-31,$328
2016-02-29,$229
2015-11-30,$258
2015-08-31,$401
2015-05-31,$309
2015-02-28,$212
2014-11-30,$238
2014-08-31,$374
2014-05-31,$285
2014-02-28,$193
2013-11-30,$218
2013-08-31,$371
2013-05-31,$266
2013-02-28,$176
2012-11-30,$203
2012-08-31,$324
2012-05-31,$249
2012-02-29,$167
2011-11-30,$191
2011-08-31,$301
2011-05-31,$227
2011-02-28,$148
2010-11-30,$172
2010-08-31,$269
2010-05-31,$203
2010-02-28,$123
2009-11-30,$143
2009-08-31,$236
2009-05-31,$174
2009-02-28,$116
