Mosaic Quarterly Net Income (Millions of US $),Mosaic Quarterly Net Income (Millions of US $).1
2024-06-30,$-162
2024-03-31,$45
2023-12-31,$365
2023-09-30,$-4
2023-06-30,$369
2023-03-31,$435
2022-12-31,$523
2022-09-30,$842
2022-06-30,"$1,036"
2022-03-31,"$1,182"
2021-12-31,$665
2021-09-30,$372
2021-06-30,$437
2021-03-31,$157
2020-12-31,$828
2020-09-30,$-6
2020-06-30,$47
2020-03-31,$-203
2019-12-31,$-921
2019-09-30,$-44
2019-06-30,$-233
2019-03-31,$131
2018-12-31,$112
2018-09-30,$248
2018-06-30,$68
2018-03-31,$42
2017-12-31,$-431
2017-09-30,$228
2017-06-30,$97
2017-03-31,$-1
2016-12-31,$12
2016-09-30,$39
2016-06-30,$-10
2016-03-31,$257
2015-12-31,$155
2015-09-30,$160
2015-06-30,$391
2015-03-31,$295
2014-12-31,$361
2014-09-30,$202
2014-06-30,$248
2014-03-31,$218
2013-12-31,$125
2013-09-30,$124
2013-06-30,$430
2013-05-31,
2013-03-31,$380
2013-02-28,$345
2012-11-30,$629
2012-09-30,$417
2012-08-31,$429
2012-05-31,
2012-02-29,$273
2011-11-30,$624
2011-08-31,$526
2011-05-31,
2011-02-28,$542
2010-11-30,"$1,026"
2010-08-31,$298
2010-05-31,
2010-02-28,$223
2009-11-30,$108
2009-08-31,$101
2009-05-31,
2009-02-28,$59
