Encore Capital Group Inc Quarterly Net Income (Millions of US $),Encore Capital Group Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$23
2023-12-31,$-271
2023-09-30,$19
2023-06-30,$26
2023-03-31,$19
2022-12-31,$-73
2022-09-30,$31
2022-06-30,$60
2022-03-31,$176
2021-12-31,$76
2021-09-30,$84
2021-06-30,$97
2021-03-31,$95
2020-12-31,$37
2020-09-30,$55
2020-06-30,$130
2020-03-31,$-10
2019-12-31,$43
2019-09-30,$39
2019-06-30,$37
2019-03-31,$49
2018-12-31,$47
2018-09-30,$21
2018-06-30,$26
2018-03-31,$22
2017-12-31,$13
2017-09-30,$28
2017-06-30,$20
2017-03-31,$22
2016-12-31,$23
2016-09-30,$-2
2016-06-30,$30
2016-03-31,$26
2015-12-31,$-1
2015-09-30,$-11
2015-06-30,$28
2015-03-31,$29
2014-12-31,$27
2014-09-30,$30
2014-06-30,$24
2014-03-31,$23
2013-12-31,$23
2013-09-30,$22
2013-06-30,$11
2013-03-31,$19
2012-12-31,$20
2012-09-30,$21
2012-06-30,$17
2012-03-31,$11
2011-12-31,$17
2011-09-30,$15
2011-06-30,$15
2011-03-31,$14
2010-12-31,$14
2010-09-30,$12
2010-06-30,$12
2010-03-31,$11
2009-12-31,$8
2009-09-30,$9
2009-06-30,$7
2009-03-31,$9
