Enovis Quarterly Net Income (Millions of US $),Enovis Quarterly Net Income (Millions of US $).1
2024-06-30,$-19
2024-03-31,$-72
2023-12-31,$3
2023-09-30,$-3
2023-06-30,$-10
2023-03-31,$-23
2022-12-31,$-39
2022-09-30,$-67
2022-06-30,$77
2022-03-31,$15
2021-12-31,$-2
2021-09-30,$26
2021-06-30,$29
2021-03-31,$19
2020-12-31,$33
2020-09-30,$13
2020-06-30,$-8
2020-03-31,$4
2019-12-31,$-17
2019-09-30,$10
2019-06-30,$-469
2019-03-31,$-52
2018-12-31,$46
2018-09-30,$31
2018-06-30,$38
2018-03-31,$25
2017-12-31,$13
2017-09-30,$46
2017-06-30,$53
2017-03-31,$39
2016-12-31,$38
2016-09-30,$28
2016-06-30,$40
2016-03-31,$23
2015-12-31,$44
2015-09-30,$18
2015-06-30,$53
2015-03-31,$52
2014-12-31,$80
2014-09-30,$73
2014-06-30,$192
2014-03-31,$25
2013-12-31,$35
2013-09-30,$50
2013-06-30,$53
2013-03-31,$20
2012-12-31,$15
2012-09-30,$4
2012-06-30,$7
2012-03-31,$-109
2011-12-31,$-16
2011-09-30,$4
2011-06-30,$10
2011-03-31,$7
2010-12-31,$9
2010-09-30,$6
2010-06-30,$2
2010-03-31,$-0
2009-12-31,$7
2009-09-30,$6
2009-06-30,$4
2009-03-31,$7
