AutoNation Quarterly Net Income (Millions of US $),AutoNation Quarterly Net Income (Millions of US $).1
2024-06-30,$130
2024-03-31,$190
2023-12-31,$216
2023-09-30,$244
2023-06-30,$273
2023-03-31,$289
2022-12-31,$286
2022-09-30,$353
2022-06-30,$376
2022-03-31,$362
2021-12-31,$387
2021-09-30,$362
2021-06-30,$385
2021-03-31,$239
2020-12-31,$152
2020-09-30,$183
2020-06-30,$280
2020-03-31,$-232
2019-12-31,$158
2019-09-30,$100
2019-06-30,$101
2019-03-31,$92
2018-12-31,$93
2018-09-30,$112
2018-06-30,$98
2018-03-31,$94
2017-12-31,$151
2017-09-30,$98
2017-06-30,$88
2017-03-31,$98
2016-12-31,$115
2016-09-30,$107
2016-06-30,$112
2016-03-31,$96
2015-12-31,$98
2015-09-30,$119
2015-06-30,$115
2015-03-31,$112
2014-12-31,$117
2014-09-30,$107
2014-06-30,$100
2014-03-31,$95
2013-12-31,$109
2013-09-30,$93
2013-06-30,$90
2013-03-31,$83
2012-12-31,$83
2012-09-30,$82
2012-06-30,$79
2012-03-31,$73
2011-12-31,$69
2011-09-30,$71
2011-06-30,$72
2011-03-31,$69
2010-12-31,$67
2010-09-30,$57
2010-06-30,$47
2010-03-31,$55
2009-12-31,$62
2009-09-30,$65
2009-06-30,$37
2009-03-31,$35
