Calumet Quarterly Net Income (Millions of US $),Calumet Quarterly Net Income (Millions of US $).1
2024-06-30,$-38
2024-03-31,$-41
2023-12-31,$-50
2023-09-30,$101
2023-06-30,$-22
2023-03-31,$18
2022-12-31,$-76
2022-09-30,$15
2022-06-30,$-15
2022-03-31,$-94
2021-12-31,$-85
2021-09-30,$51
2021-06-30,$-77
2021-03-31,$-143
2020-12-31,$-80
2020-09-30,$-55
2020-06-30,$4
2020-03-31,$-14
2019-12-31,$-38
2019-09-30,$-5
2019-06-30,$-17
2019-03-31,$16
2018-12-31,$18
2018-09-30,$-16
2018-06-30,$-51
2018-03-31,$-5
2017-12-31,$-82
2017-09-30,$-23
2017-06-30,$9
2017-03-31,$-6
2016-12-31,$-78
2016-09-30,$-33
2016-06-30,$-145
2016-03-31,$-66
2015-12-31,$-119
2015-09-30,$-52
2015-06-30,$-2
2015-03-31,$19
2014-12-31,$-66
2014-09-30,$5
2014-06-30,$-12
2014-03-31,$-53
2013-12-31,$-19
2013-09-30,$-38
2013-06-30,$4
2013-03-31,$42
2012-12-31,$42
2012-09-30,$40
2012-06-30,$63
2012-03-31,$50
2011-12-31,$26
2011-09-30,$19
2011-06-30,$-7
2011-03-31,$4
2010-12-31,$9
2010-09-30,$21
2010-06-30,$-1
2010-03-31,$-13
2009-12-31,$8
2009-09-30,$4
2009-06-30,$-25
2009-03-31,$74
