Innovex Quarterly Net Income (Millions of US $),Innovex Quarterly Net Income (Millions of US $).1
2024-06-30,$-2
2024-03-31,$-20
2023-12-31,$2
2023-09-30,$-7
2023-06-30,$3
2023-03-31,$2
2022-12-31,$-0
2022-09-30,$13
2022-06-30,$-6
2022-03-31,$-9
2021-12-31,$-64
2021-09-30,$-11
2021-06-30,$-19
2021-03-31,$-34
2020-12-31,$-11
2020-09-30,$14
2020-06-30,$-14
2020-03-31,$-20
2019-12-31,$7
2019-09-30,$-1
2019-06-30,$2
2019-03-31,$-6
2018-12-31,$-75
2018-09-30,$-10
2018-06-30,$-3
2018-03-31,$-7
2017-12-31,$-71
2017-09-30,$-29
2017-06-30,$0
2017-03-31,$0
2016-12-31,$1
2016-09-30,$19
2016-06-30,$36
2016-03-31,$37
2015-12-31,$48
2015-09-30,$51
2015-06-30,$39
2015-03-31,$54
2014-12-31,$59
2014-09-30,$56
2014-06-30,$51
2014-03-31,$43
2013-12-31,$47
2013-09-30,$40
2013-06-30,$43
2013-03-31,$40
2012-12-31,$31
2012-09-30,$30
2012-06-30,$30
2012-03-31,$29
2011-12-31,$28
2011-09-30,$23
2011-06-30,$22
2011-03-31,$22
2010-12-31,$21
2010-09-30,$28
2010-06-30,$28
2010-03-31,$26
2009-12-31,$29
2009-09-30,$25
2009-06-30,$27
2009-03-31,$25
