Cars Quarterly Net Income (Millions of US $),Cars Quarterly Net Income (Millions of US $).1
2024-06-30,$11
2024-03-31,$1
2023-12-31,$8
2023-09-30,$4
2023-06-30,$94
2023-03-31,$11
2022-12-31,$10
2022-09-30,$-3
2022-06-30,$6
2022-03-31,$4
2021-12-31,$-3
2021-09-30,$2
2021-06-30,$6
2021-03-31,$5
2020-12-31,$35
2020-09-30,$-12
2020-06-30,$-25
2020-03-31,$-787
2019-12-31,$-4
2019-09-30,$-426
2019-06-30,$-6
2019-03-31,$-9
2018-12-31,$9
2018-09-30,$16
2018-06-30,$13
2018-03-31,$1
2017-12-31,$152
2017-09-30,$21
2017-06-30,$25
2017-03-31,$27
2016-12-31,$49
2016-09-30,$52
2016-06-30,$42
2016-03-31,$34
2015-12-31,
2014-12-31,
