Piedmont Office Realty Trust Quarterly Net Income (Millions of US $),Piedmont Office Realty Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$-10
2024-03-31,$-28
2023-12-31,$-28
2023-09-30,$-17
2023-06-30,$-2
2023-03-31,$-1
2022-12-31,$76
2022-09-30,$3
2022-06-30,$8
2022-03-31,$60
2021-12-31,$-32
2021-09-30,$11
2021-06-30,$10
2021-03-31,$9
2020-12-31,$23
2020-09-30,$9
2020-06-30,$192
2020-03-31,$9
2019-12-31,$162
2019-09-30,$8
2019-06-30,$8
2019-03-31,$50
2018-12-31,$45
2018-09-30,$16
2018-06-30,$11
2018-03-31,$58
2017-12-31,$-31
2017-09-30,$126
2017-06-30,$24
2017-03-31,$15
2016-12-31,$30
2016-09-30,$-13
2016-06-30,$72
2016-03-31,$10
2015-12-31,$84
2015-09-30,$-2
2015-06-30,$30
2015-03-31,$19
2014-12-31,$11
2014-09-30,$9
2014-06-30,$12
2014-03-31,$9
2013-12-31,$30
2013-09-30,$19
2013-06-30,$35
2013-03-31,$15
2012-12-31,$14
2012-09-30,$11
2012-06-30,$31
2012-03-31,$37
2011-12-31,$119
2011-09-30,$51
2011-06-30,$21
2011-03-31,$34
2010-12-31,$29
2010-09-30,$41
2010-06-30,$20
2010-03-31,$31
2009-12-31,$26
2009-09-30,$-8
2009-06-30,$28
2009-03-31,$29
