Skechers U.S.A Quarterly Net Income (Millions of US $),Skechers U.S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$140
2024-03-31,$207
2023-12-31,$87
2023-09-30,$145
2023-06-30,$153
2023-03-31,$160
2022-12-31,$76
2022-09-30,$86
2022-06-30,$90
2022-03-31,$121
2021-12-31,$402
2021-09-30,$103
2021-06-30,$137
2021-03-31,$99
2020-12-31,$53
2020-09-30,$64
2020-06-30,$-68
2020-03-31,$49
2019-12-31,$60
2019-09-30,$103
2019-06-30,$75
2019-03-31,$109
2018-12-31,$47
2018-09-30,$91
2018-06-30,$45
2018-03-31,$118
2017-12-31,$-67
2017-09-30,$92
2017-06-30,$60
2017-03-31,$94
2016-12-31,$7
2016-09-30,$65
2016-06-30,$74
2016-03-31,$98
2015-12-31,$29
2015-09-30,$67
2015-06-30,$80
2015-03-31,$56
2014-12-31,$22
2014-09-30,$51
2014-06-30,$35
2014-03-31,$31
2013-12-31,$14
2013-09-30,$27
2013-06-30,$7
2013-03-31,$7
2012-12-31,$4
2012-09-30,$11
2012-06-30,$-2
2012-03-31,$-4
2011-12-31,$-58
2011-09-30,$8
2011-06-30,$-30
2011-03-31,$12
2010-12-31,$3
2010-09-30,$36
2010-06-30,$40
2010-03-31,$56
2009-12-31,$28
2009-09-30,$24
2009-06-30,$-6
2009-03-31,$8
