Dolby Laboratories Quarterly Net Income (Millions of US $),Dolby Laboratories Quarterly Net Income (Millions of US $).1
2024-06-30,$38
2024-03-31,$98
2023-12-31,$67
2023-09-30,$9
2023-06-30,$16
2023-03-31,$96
2022-12-31,$79
2022-09-30,$28
2022-06-30,$40
2022-03-31,$37
2021-12-31,$80
2021-09-30,$44
2021-06-30,$55
2021-03-31,$76
2020-12-31,$135
2020-09-30,$27
2020-06-30,$67
2020-03-31,$88
2019-12-31,$49
2019-09-30,$44
2019-06-30,$40
2019-03-31,$73
2018-12-31,$98
2018-09-30,$27
2018-06-30,$3
2018-03-31,$65
2017-12-31,$-53
2017-09-30,$26
2017-06-30,$76
2017-03-31,$51
2016-12-31,$53
2016-09-30,$24
2016-06-30,$64
2016-03-31,$67
2015-12-31,$31
2015-09-30,$47
2015-06-30,$36
2015-03-31,$58
2014-12-31,$41
2014-09-30,$46
2014-06-30,$40
2014-03-31,$76
2013-12-31,$45
2013-09-30,$46
2013-06-30,$30
2013-03-31,$62
2012-12-31,$51
2012-09-30,$51
2012-06-30,$52
2012-03-31,$88
2011-12-31,$73
2011-09-30,$79
2011-06-30,$62
2011-03-31,$82
2010-12-31,$86
2010-09-30,$65
2010-06-30,$63
2010-03-31,$86
2009-12-31,$69
2009-09-30,$44
2009-06-30,$51
2009-03-31,$69
