MetLife Quarterly Net Income (Millions of US $),MetLife Quarterly Net Income (Millions of US $).1
2024-06-30,$912
2024-03-31,$800
2023-12-31,$574
2023-09-30,$422
2023-06-30,$370
2023-03-31,$14
2022-12-31,"$1,549"
2022-09-30,"$1,098"
2022-06-30,$881
2022-03-31,"$1,571"
2021-12-31,"$1,477"
2021-09-30,"$1,521"
2021-06-30,"$3,366"
2021-03-31,$290
2020-12-31,$124
2020-09-30,$633
2020-06-30,$68
2020-03-31,"$4,366"
2019-12-31,$536
2019-09-30,"$2,152"
2019-06-30,"$1,684"
2019-03-31,"$1,349"
2018-12-31,"$2,010"
2018-09-30,$880
2018-06-30,$845
2018-03-31,"$1,247"
2017-12-31,"$2,272"
2017-09-30,$-97
2017-06-30,$865
2017-03-31,$867
2016-12-31,"$-2,083"
2016-09-30,$571
2016-06-30,$64
2016-03-31,"$2,195"
2015-12-31,$848
2015-09-30,"$1,197"
2015-06-30,"$1,042"
2015-03-31,"$2,128"
2014-12-31,"$1,490"
2014-09-30,"$2,064"
2014-06-30,"$1,335"
2014-03-31,"$1,298"
2013-12-31,$877
2013-09-30,$942
2013-06-30,$471
2013-03-31,$956
2012-12-31,$96
2012-09-30,$-984
2012-06-30,"$2,264"
2012-03-31,$-174
2011-12-31,$959
2011-09-30,"$3,426"
2011-06-30,"$1,069"
2011-03-31,$701
2010-12-31,$-72
2010-09-30,$286
2010-06-30,"$1,526"
2010-03-31,$805
2009-12-31,$289
2009-09-30,$-650
2009-06-30,"$-1,433"
2009-03-31,$-574
