GameStop Quarterly Net Income (Millions of US $),GameStop Quarterly Net Income (Millions of US $).1
2024-07-31,$15
2024-04-30,$-32
2024-01-31,$63
2023-10-31,$-3
2023-07-31,$-3
2023-04-30,$-51
2023-01-31,$48
2022-10-31,$-95
2022-07-31,$-109
2022-04-30,$-158
2022-01-31,$-148
2021-10-31,$-105
2021-07-31,$-62
2021-04-30,$-67
2021-01-31,$81
2020-10-31,$-19
2020-07-31,$-111
2020-04-30,$-166
2020-01-31,$21
2019-10-31,$-83
2019-07-31,$-415
2019-04-30,$7
2019-01-31,$-188
2018-10-31,$-489
2018-07-31,$-25
2018-04-30,$28
2018-01-31,$-106
2017-10-31,$59
2017-07-31,$22
2017-04-30,$59
2017-01-31,$209
2016-10-31,$51
2016-07-31,$28
2016-04-30,$66
2016-01-31,$248
2015-10-31,$56
2015-07-31,$25
2015-04-30,$74
2015-01-31,$244
2014-10-31,$56
2014-07-31,$25
2014-04-30,$68
2014-01-31,$221
2013-10-31,$69
2013-07-31,$11
2013-04-30,$55
2013-01-31,$261
2012-10-31,$-624
2012-07-31,$21
2012-04-30,$73
2012-01-31,$175
2011-10-31,$54
2011-07-31,$31
2011-04-30,$80
2011-01-31,$238
2010-10-31,$55
2010-07-31,$40
2010-04-30,$75
2010-01-31,$216
2009-10-31,$52
2009-07-31,$39
2009-04-30,$70
2009-01-31,$232
