Insulet Quarterly Net Income (Millions of US $),Insulet Quarterly Net Income (Millions of US $).1
2024-06-30,$189
2024-03-31,$52
2023-12-31,$103
2023-09-30,$52
2023-06-30,$27
2023-03-31,$24
2022-12-31,$17
2022-09-30,$-5
2022-06-30,$-35
2022-03-31,$28
2021-12-31,$29
2021-09-30,$13
2021-06-30,$-25
2021-03-31,
2020-12-31,$-17
2020-09-30,$12
2020-06-30,$14
2020-03-31,$-2
2019-12-31,$5
2019-09-30,$1
2019-06-30,$1
2019-03-31,$4
2018-12-31,$10
2018-09-30,$2
2018-06-30,$-2
2018-03-31,$-7
2017-12-31,$-7
2017-09-30,$-2
2017-06-30,$-8
2017-03-31,$-10
2016-12-31,$-9
2016-09-30,$-3
2016-06-30,$-4
2016-03-31,$-12
2015-12-31,$-27
2015-09-30,$-19
2015-06-30,$-15
2015-03-31,$-12
2014-12-31,$-5
2014-09-30,$-11
2014-06-30,$-29
2014-03-31,$-6
2013-12-31,$-3
2013-09-30,$-21
2013-06-30,$-11
2013-03-31,$-11
2012-12-31,$-10
2012-09-30,$-12
2012-06-30,$-14
2012-03-31,$-15
2011-12-31,$-14
2011-09-30,$-14
2011-06-30,$-8
2011-03-31,$-10
2010-12-31,$-21
2010-09-30,$-12
2010-06-30,$-14
2010-03-31,$-14
2009-12-31,$-16
2009-09-30,$-17
2009-06-30,$-20
2009-03-31,$-20
