Heartland Financial USA Quarterly Net Income (Millions of US $),Heartland Financial USA Quarterly Net Income (Millions of US $).1
2024-06-30,$38
2024-03-31,$50
2023-12-31,$-72
2023-09-30,$46
2023-06-30,$47
2023-03-31,$51
2022-12-31,$59
2022-09-30,$55
2022-06-30,$50
2022-03-31,$41
2021-12-31,$48
2021-09-30,$54
2021-06-30,$60
2021-03-31,$51
2020-12-31,$38
2020-09-30,$46
2020-06-30,$30
2020-03-31,$20
2019-12-31,$38
2019-09-30,$35
2019-06-30,$45
2019-03-31,$31
2018-12-31,$32
2018-09-30,$34
2018-06-30,$28
2018-03-31,$23
2017-12-31,$14
2017-09-30,$22
2017-06-30,$22
2017-03-31,$18
2016-12-31,$19
2016-09-30,$20
2016-06-30,$21
2016-03-31,$20
2015-12-31,$14
2015-09-30,$14
2015-06-30,$15
2015-03-31,$16
2014-12-31,$12
2014-09-30,$12
2014-06-30,$11
2014-03-31,$7
2013-12-31,$8
2013-09-30,$7
2013-06-30,$9
2013-03-31,$12
2012-12-31,$9
2012-09-30,$13
2012-06-30,$13
2012-03-31,$12
2011-12-31,$5
2011-09-30,$3
2011-06-30,$9
2011-03-31,$3
2010-12-31,$5
2010-09-30,$6
2010-06-30,$4
2010-03-31,$4
2009-12-31,$-9
2009-09-30,$2
2009-06-30,$3
2009-03-31,$5
