Arcosa Quarterly Net Income (Millions of US $),Arcosa Quarterly Net Income (Millions of US $).1
2024-06-30,$46
2024-03-31,$39
2023-12-31,$27
2023-09-30,$36
2023-06-30,$41
2023-03-31,$56
2022-12-31,$155
2022-09-30,$32
2022-06-30,$39
2022-03-31,$20
2021-12-31,$9
2021-09-30,$24
2021-06-30,$21
2021-03-31,$16
2020-12-31,$11
2020-09-30,$31
2020-06-30,$33
2020-03-31,$32
2019-12-31,$21
2019-09-30,$33
2019-06-30,$32
2019-03-31,$28
2018-12-31,$28
2018-09-30,$3
2018-06-30,$23
2018-03-31,$22
2017-12-31,
2017-09-30,$21
2016-12-31,
2015-12-31,
