Caleres Quarterly Net Income (Millions of US $),Caleres Quarterly Net Income (Millions of US $).1
2024-07-31,$29
2024-04-30,$30
2024-01-31,$53
2023-10-31,$45
2023-07-31,$32
2023-04-30,$33
2023-01-31,$39
2022-10-31,$38
2022-07-31,$49
2022-04-30,$48
2022-01-31,$33
2021-10-31,$57
2021-07-31,$36
2021-04-30,$6
2021-01-31,$-76
2020-10-31,$14
2020-07-31,$-31
2020-04-30,$-346
2020-01-31,$-0
2019-10-31,$28
2019-07-31,$24
2019-04-30,$9
2019-01-31,$-75
2018-10-31,$29
2018-07-31,$23
2018-04-30,$17
2018-01-31,$20
2017-10-31,$33
2017-07-31,$17
2017-04-30,$14
2017-01-31,$-7
2016-10-31,$34
2016-07-31,$20
2016-04-30,$17
2016-01-31,$14
2015-10-31,$33
2015-07-31,$16
2015-04-30,$19
2015-01-31,$16
2014-10-31,$32
2014-07-31,$17
2014-04-30,$15
2014-01-31,$5
2013-10-31,$27
2013-07-31,$15
2013-04-30,$-11
2013-01-31,$4
2012-10-31,$24
2012-07-31,$-3
2012-04-30,$2
2012-01-31,$-7
2011-10-31,$32
2011-07-31,$-5
2011-04-30,$4
2011-01-31,$3
2010-10-31,$19
2010-07-31,$5
2010-04-30,$10
2010-01-31,$5
2009-10-31,$16
2009-07-31,$-4
2009-04-30,$-8
2009-01-31,$-153
