Vornado Realty Trust Quarterly Net Income (Millions of US $),Vornado Realty Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$-9
2023-12-31,$-61
2023-09-30,$53
2023-06-30,$46
2023-03-31,$5
2022-12-31,$-493
2022-09-30,$8
2022-06-30,$50
2022-03-31,$26
2021-12-31,$11
2021-09-30,$38
2021-06-30,$48
2021-03-31,$4
2020-12-31,$-209
2020-09-30,$53
2020-06-30,$-198
2020-03-31,$5
2019-12-31,$193
2019-09-30,$323
2019-06-30,"$2,400"
2019-03-31,$181
2018-12-31,$100
2018-09-30,$191
2018-06-30,$112
2018-03-31,$-18
2017-12-31,$27
2017-09-30,$-29
2017-06-30,$116
2017-03-31,$48
2016-12-31,$651
2016-09-30,$66
2016-06-30,$220
2016-03-31,$-114
2015-12-31,$231
2015-09-30,$199
2015-06-30,$166
2015-03-31,$85
2014-12-31,$513
2014-09-30,$131
2014-06-30,$77
2014-03-31,$62
2013-12-31,$-69
2013-09-30,$83
2013-06-30,$146
2013-03-31,$232
2012-12-31,$63
2012-09-30,$232
2012-06-30,$21
2012-03-31,$234
2011-12-31,$70
2011-09-30,$41
2011-06-30,$92
2011-03-31,$399
2010-12-31,$243
2010-09-30,$95
2010-06-30,$58
2010-03-31,$200
2009-12-31,$-151
2009-09-30,$126
2009-06-30,$-52
2009-03-31,$126
