Stepan Quarterly Net Income (Millions of US $),Stepan Quarterly Net Income (Millions of US $).1
2024-06-30,$10
2024-03-31,$14
2023-12-31,$-1
2023-09-30,$13
2023-06-30,$13
2023-03-31,$16
2022-12-31,$11
2022-09-30,$39
2022-06-30,$52
2022-03-31,$45
2021-12-31,$17
2021-09-30,$37
2021-06-30,$43
2021-03-31,$41
2020-12-31,$30
2020-09-30,$33
2020-06-30,$36
2020-03-31,$28
2019-12-31,$22
2019-09-30,$26
2019-06-30,$30
2019-03-31,$25
2018-12-31,$24
2018-09-30,$22
2018-06-30,$33
2018-03-31,$32
2017-12-31,$19
2017-09-30,$22
2017-06-30,$28
2017-03-31,$32
2016-12-31,$8
2016-09-30,$21
2016-06-30,$28
2016-03-31,$28
2015-12-31,$13
2015-09-30,$25
2015-06-30,$17
2015-03-31,$21
2014-12-31,$6
2014-09-30,$13
2014-06-30,$24
2014-03-31,$13
2013-12-31,$11
2013-09-30,$20
2013-06-30,$23
2013-03-31,$19
2012-12-31,$16
2012-09-30,$20
2012-06-30,$21
2012-03-31,$22
2011-12-31,$14
2011-09-30,$19
2011-06-30,$21
2011-03-31,$19
2010-12-31,$8
2010-09-30,$19
2010-06-30,$17
2010-03-31,$21
2009-12-31,$8
2009-09-30,$20
2009-06-30,$20
2009-03-31,$15
