Westlake Quarterly Net Income (Millions of US $),Westlake Quarterly Net Income (Millions of US $).1
2024-06-30,$311
2024-03-31,$173
2023-12-31,$-495
2023-09-30,$283
2023-06-30,$296
2023-03-31,$392
2022-12-31,$231
2022-09-30,$399
2022-06-30,$853
2022-03-31,$752
2021-12-31,$640
2021-09-30,$604
2021-06-30,$520
2021-03-31,$241
2020-12-31,$112
2020-09-30,$57
2020-06-30,$15
2020-03-31,$145
2019-12-31,$70
2019-09-30,$158
2019-06-30,$119
2019-03-31,$72
2018-12-31,$118
2018-09-30,$308
2018-06-30,$278
2018-03-31,$287
2017-12-31,$796
2017-09-30,$210
2017-06-30,$153
2017-03-31,$138
2016-12-31,$97
2016-09-30,$66
2016-06-30,$111
2016-03-31,$123
2015-12-31,$108
2015-09-30,$184
2015-06-30,$205
2015-03-31,$146
2014-12-31,$182
2014-09-30,$168
2014-06-30,$169
2014-03-31,$158
2013-12-31,$169
2013-09-30,$170
2013-06-30,$145
2013-03-31,$123
2012-12-31,$97
2012-09-30,$87
2012-06-30,$115
2012-03-31,$87
2011-12-31,$26
2011-09-30,$67
2011-06-30,$80
2011-03-31,$83
2010-12-31,$82
2010-09-30,$63
2010-06-30,$57
2010-03-31,$18
2009-12-31,$12
2009-09-30,$30
2009-06-30,$17
2009-03-31,$-6
