International Seaways Quarterly Net Income (Millions of US $),International Seaways Quarterly Net Income (Millions of US $).1
2024-06-30,$145
2024-03-31,$144
2023-12-31,$132
2023-09-30,$98
2023-06-30,$154
2023-03-31,$173
2022-12-31,$218
2022-09-30,$113
2022-06-30,$69
2022-03-31,$-13
2021-12-31,$-34
2021-09-30,$-67
2021-06-30,$-19
2021-03-31,$-13
2020-12-31,$-117
2020-09-30,$14
2020-06-30,$64
2020-03-31,$33
2019-12-31,$16
2019-09-30,$-11
2019-06-30,$-17
2019-03-31,$11
2018-12-31,$7
2018-09-30,$-48
2018-06-30,$-19
2018-03-31,$-29
2017-12-31,$-91
2017-09-30,$-22
2017-06-30,$-12
2017-03-31,$18
2016-12-31,$-58
2016-09-30,$-51
2016-06-30,$31
2016-03-31,$60
2015-12-31,
2015-09-30,$52
2015-06-30,
2014-12-31,
2013-12-31,
