Prudential Financial Quarterly Net Income (Millions of US $),Prudential Financial Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,198"
2024-03-31,"$1,138"
2023-12-31,"$1,317"
2023-09-30,$-802
2023-06-30,$511
2023-03-31,"$1,462"
2022-12-31,$-52
2022-09-30,$-92
2022-06-30,"$-1,010"
2022-03-31,$-493
2021-12-31,"$2,352"
2021-09-30,"$1,530"
2021-06-30,"$2,158"
2021-03-31,"$2,828"
2020-12-31,$819
2020-09-30,"$1,487"
2020-06-30,"$-2,409"
2020-03-31,$-271
2019-12-31,"$1,128"
2019-09-30,"$1,418"
2019-06-30,$708
2019-03-31,$932
2018-12-31,$842
2018-09-30,"$1,672"
2018-06-30,$197
2018-03-31,"$1,363"
2017-12-31,"$3,765"
2017-09-30,"$2,238"
2017-06-30,$491
2017-03-31,"$1,369"
2016-12-31,$284
2016-09-30,"$1,827"
2016-06-30,$921
2016-03-31,"$1,336"
2015-12-31,$735
2015-09-30,"$1,465"
2015-06-30,"$1,406"
2015-03-31,"$2,036"
2014-12-31,"$-1,459"
2014-09-30,$512
2014-06-30,"$1,090"
2014-03-31,"$1,238"
2013-12-31,$-460
2013-09-30,"$1,027"
2013-06-30,$-514
2013-03-31,$-720
2012-12-31,$-181
2012-09-30,$-584
2012-06-30,"$2,224"
2012-03-31,$-939
2011-12-31,$688
2011-09-30,"$1,594"
2011-06-30,$789
2011-03-31,$561
2010-12-31,$-17
2010-09-30,"$1,244"
2010-06-30,"$1,077"
2010-03-31,$697
2009-12-31,"$1,865"
2009-09-30,"$1,082"
2009-06-30,$163
2009-03-31,$14
