Viasat Quarterly Net Income (Millions of US $),Viasat Quarterly Net Income (Millions of US $).1
2024-06-30,$-33
2024-03-31,$-100
2023-12-31,$-124
2023-09-30,$-767
2023-06-30,$-77
2023-03-31,"$1,197"
2022-12-31,$-42
2022-09-30,$-48
2022-06-30,$-22
2022-03-31,$-29
2021-12-31,$-7
2021-09-30,$3
2021-06-30,$17
2021-03-31,$7
2020-12-31,$7
2020-09-30,$2
2020-06-30,$-12
2020-03-31,$2
2019-12-31,$6
2019-09-30,$3
2019-06-30,$-11
2019-03-31,$3
2018-12-31,$-10
2018-09-30,$-26
2018-06-30,$-34
2018-03-31,$-20
2017-12-31,$-25
2017-09-30,$-14
2017-06-30,$-9
2017-03-31,$7
2016-12-31,$4
2016-09-30,$11
2016-06-30,$2
2016-03-31,$4
2015-12-31,$10
2015-09-30,$5
2015-06-30,$3
2015-03-31,$8
2014-12-31,$15
2014-09-30,$24
2014-06-30,$-6
2014-03-31,$-4
2013-12-31,$-6
2013-09-30,$2
2013-06-30,$-2
2013-03-31,$2
2012-12-31,$-21
2012-09-30,$-8
2012-06-30,$-14
2012-03-31,$-7
2011-12-31,$5
2011-09-30,$8
2011-06-30,$2
2011-03-31,$12
2010-12-31,$13
2010-09-30,$8
2010-06-30,$3
2010-03-31,$10
2009-12-31,$3
2009-09-30,$9
2009-06-30,$8
2009-03-31,$12
