Cal-Maine Foods Quarterly Net Income (Millions of US $),Cal-Maine Foods Quarterly Net Income (Millions of US $).1
2024-05-31,$113
2024-02-29,$147
2023-11-30,$17
2023-08-31,$1
2023-05-31,$111
2023-02-28,$323
2022-11-30,$199
2022-08-31,$125
2022-05-31,$110
2022-02-28,$40
2021-11-30,$1
2021-08-31,$-18
2021-05-31,$-4
2021-02-28,$14
2020-11-30,$12
2020-08-31,$-19
2020-05-31,$60
2020-02-29,$14
2019-11-30,$-10
2019-08-31,$-46
2019-05-31,$-20
2019-02-28,$40
2018-11-30,$22
2018-08-31,$12
2018-05-31,$72
2018-02-28,$96
2017-11-30,$-26
2017-08-31,$-16
2017-05-31,$-24
2017-02-28,$4
2016-11-30,$-23
2016-08-31,$-31
2016-05-31,$-0
2016-02-29,$64
2015-11-30,$109
2015-08-31,$143
2015-05-31,$46
2015-02-28,$51
2014-11-30,$37
2014-08-31,$28
2014-05-31,$31
2014-02-28,$43
2013-11-30,$26
2013-08-31,$9
2013-05-31,$-4
2013-02-28,$31
2012-11-30,$14
2012-08-31,$9
2012-05-31,$37
2012-02-29,$26
2011-11-30,$23
2011-08-31,$3
2011-05-31,$7
2011-02-28,$34
2010-11-30,$15
2010-08-31,$5
2010-05-31,$21
2010-02-28,$35
2009-11-30,$16
2009-08-31,$-4
2009-05-31,$10
2009-02-28,$31
