Jacobs Solutions Quarterly Net Income (Millions of US $),Jacobs Solutions Quarterly Net Income (Millions of US $).1
2024-06-30,$147
2024-03-31,$162
2023-12-31,$172
2023-09-30,$149
2023-06-30,$164
2023-03-31,$217
2022-12-31,$136
2022-09-30,$225
2022-06-30,$196
2022-03-31,$89
2021-12-31,$134
2021-09-30,$43
2021-06-30,$166
2021-03-31,$11
2020-12-31,$257
2020-09-30,$82
2020-06-30,$245
2020-03-31,$-92
2019-12-31,$257
2019-09-30,$142
2019-06-30,$524
2019-03-31,$57
2018-12-31,$124
2018-09-30,$-38
2018-06-30,$150
2018-03-31,$49
2017-12-31,$2
2017-09-30,$96
2017-06-30,$88
2017-03-31,$49
2016-12-31,$61
2016-09-30,$30
2016-06-30,$69
2016-03-31,$65
2015-12-31,$47
2015-09-30,$30
2015-06-30,$91
2015-03-31,$82
2014-12-31,$100
2014-09-30,$86
2014-06-30,$65
2014-03-31,$83
2013-12-31,$94
2013-09-30,$111
2013-06-30,$109
2013-03-31,$104
2012-12-31,$99
2012-09-30,$107
2012-06-30,$98
2012-03-31,$84
2011-12-31,$90
2011-09-30,$94
2011-06-30,$91
2011-03-31,$80
2010-12-31,$66
2010-09-30,$77
2010-06-30,$19
2010-03-31,$78
2009-12-31,$72
2009-09-30,$79
2009-06-30,$95
2009-03-31,$109
