Beazer Homes USA Quarterly Net Income (Millions of US $),Beazer Homes USA Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$39
2023-12-31,$22
2023-09-30,$56
2023-06-30,$44
2023-03-31,$35
2022-12-31,$24
2022-09-30,$87
2022-06-30,$54
2022-03-31,$45
2021-12-31,$35
2021-09-30,$48
2021-06-30,$37
2021-03-31,$25
2020-12-31,$12
2020-09-30,$24
2020-06-30,$15
2020-03-31,$11
2019-12-31,$3
2019-09-30,$2
2019-06-30,$12
2019-03-31,$-101
2018-12-31,$7
2018-09-30,$61
2018-06-30,$13
2018-03-31,$12
2017-12-31,$-131
2017-09-30,$34
2017-06-30,$7
2017-03-31,$-8
2016-12-31,$-1
2016-09-30,$-1
2016-06-30,$6
2016-03-31,$-1
2015-12-31,$1
2015-09-30,$356
2015-06-30,$12
2015-03-31,$-2
2014-12-31,$-22
2014-09-30,$60
2014-06-30,$-12
2014-03-31,$-8
2013-12-31,$-5
2013-09-30,$12
2013-06-30,$-6
2013-03-31,$-20
2012-12-31,$-20
2012-09-30,$-66
2012-06-30,$-40
2012-03-31,$-40
2011-12-31,$1
2011-09-30,$-43
2011-06-30,$-59
2011-03-31,$-54
2010-12-31,$-49
2010-09-30,$-60
2010-06-30,$-28
2010-03-31,$5
2009-12-31,$48
2009-09-30,$34
2009-06-30,$-28
2009-03-31,$-115
