Synovus Financial Quarterly Net Income (Millions of US $),Synovus Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$-24
2024-03-31,$115
2023-12-31,$61
2023-09-30,$87
2023-06-30,$166
2023-03-31,$194
2022-12-31,$197
2022-09-30,$195
2022-06-30,$170
2022-03-31,$163
2021-12-31,$192
2021-09-30,$178
2021-06-30,$178
2021-03-31,$179
2020-12-31,$142
2020-09-30,$83
2020-06-30,$85
2020-03-31,$30
2019-12-31,$143
2019-09-30,$127
2019-06-30,$153
2019-03-31,$117
2018-12-31,$102
2018-09-30,$99
2018-06-30,$109
2018-03-31,$101
2017-12-31,$27
2017-09-30,$95
2017-06-30,$73
2017-03-31,$69
2016-12-31,$66
2016-09-30,$63
2016-06-30,$58
2016-03-31,$50
2015-12-31,$56
2015-09-30,$55
2015-06-30,$53
2015-03-31,$51
2014-12-31,$51
2014-09-30,$44
2014-06-30,$44
2014-03-31,$46
2013-12-31,$36
2013-09-30,$37
2013-06-30,$31
2013-03-31,$15
2012-12-31,$709
2012-09-30,$16
2012-06-30,$25
2012-03-31,$21
2011-12-31,$13
2011-09-30,$16
2011-06-30,$-54
2011-03-31,$-94
2010-12-31,$-180
2010-09-30,$-196
2010-06-30,$-243
2010-03-31,$-230
2009-12-31,$-283
2009-09-30,$-454
2009-06-30,$-601
2009-03-31,$-151
