STERIS Quarterly Net Income (Millions of US $),STERIS Quarterly Net Income (Millions of US $).1
2024-06-30,$145
2024-03-31,$-1
2023-12-31,$141
2023-09-30,$115
2023-06-30,$124
2023-03-31,$187
2022-12-31,$124
2022-09-30,$-315
2022-06-30,$111
2022-03-31,$52
2021-12-31,$144
2021-09-30,$70
2021-06-30,$-22
2021-03-31,$87
2020-12-31,$115
2020-09-30,$106
2020-06-30,$90
2020-03-31,$123
2019-12-31,$105
2019-09-30,$95
2019-06-30,$85
2019-03-31,$108
2018-12-31,$48
2018-09-30,$77
2018-06-30,$70
2018-03-31,$74
2017-12-31,$95
2017-09-30,$64
2017-06-30,$58
2017-03-31,$26
2016-12-31,$-5
2016-09-30,$40
2016-06-30,$48
2016-03-31,$58
2015-12-31,$20
2015-09-30,$9
2015-06-30,$24
2015-03-31,$41
2014-12-31,$38
2014-09-30,$31
2014-06-30,$25
2014-03-31,$39
2013-12-31,$29
2013-09-30,$30
2013-06-30,$32
2013-03-31,$41
2012-12-31,$48
2012-09-30,$40
2012-06-30,$30
2012-03-31,$44
2011-12-31,$34
2011-09-30,$30
2011-06-30,$29
2011-03-31,$39
2010-12-31,$22
2010-09-30,$36
2010-06-30,$-45
2010-03-31,$30
2009-12-31,$41
2009-09-30,$32
2009-06-30,$26
2009-03-31,$28
