Spectrum Brands Holdings Quarterly Net Income (Millions of US $),Spectrum Brands Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$6
2024-03-31,$61
2023-12-31,$29
2023-09-30,$17
2023-06-30,"$1,859"
2023-03-31,$-54
2022-12-31,$-21
2022-09-30,$15
2022-06-30,$33
2022-03-31,$16
2021-12-31,$8
2021-09-30,$50
2021-06-30,$31
2021-03-31,$37
2020-12-31,$72
2020-09-30,$46
2020-06-30,$145
2020-03-31,$-57
2019-12-31,$-36
2019-09-30,$-96
2019-06-30,$-26
2019-03-31,$729
2018-12-31,$-113
2018-09-30,$-116
2018-06-30,$406
2018-03-31,$-29
2017-12-31,$507
2017-09-30,$-26
2017-06-30,$2
2017-03-31,$-82
2016-12-31,$212
2016-09-30,$-7
2016-06-30,$-133
2016-03-31,$-25
2015-12-31,$-34
2015-09-30,$-143
2015-06-30,$-76
2015-03-31,$-228
2014-12-31,$-110
2014-09-30,$-6
2014-06-30,$49
2014-03-31,$-88
2013-12-31,$-39
2013-09-30,$-202
2013-06-30,$92
2013-03-31,$-46
2012-12-31,$62
2012-09-30,$159
2012-06-30,$-149
2012-03-31,$-4
2011-12-31,$24
2011-09-30,$-57
2011-06-30,$161
2011-03-31,$-62
2010-12-31,
2010-09-30,$-8
2010-06-30,$-52
2010-03-31,$-19
2009-12-31,
2009-09-30,$-8
2009-06-30,$-0
2009-03-31,$-1
