WNS (Holdings) Quarterly Net Income (Millions of US $),WNS (Holdings) Quarterly Net Income (Millions of US $).1
2024-06-30,$29
2024-03-31,$11
2023-12-31,$40
2023-09-30,$58
2023-06-30,$32
2023-03-31,$36
2022-12-31,$35
2022-09-30,$33
2022-06-30,$33
2022-03-31,$39
2021-12-31,$34
2021-09-30,$32
2021-06-30,$27
2021-03-31,$28
2020-12-31,$31
2020-09-30,$29
2020-06-30,$15
2020-03-31,$30
2019-12-31,$31
2019-09-30,$29
2019-06-30,$28
2019-03-31,$30
2018-12-31,$29
2018-09-30,$25
2018-06-30,$22
2018-03-31,$25
2017-12-31,$26
2017-09-30,$19
2017-06-30,$17
2017-03-31,$-5
2016-12-31,$18
2016-09-30,$13
2016-06-30,$12
2016-03-31,$16
2015-12-31,$16
2015-09-30,$16
2015-06-30,$13
2015-03-31,$15
2014-12-31,$17
2014-09-30,$15
2014-06-30,$12
2014-03-31,$13
2013-12-31,$12
2013-09-30,$9
2013-06-30,$7
2013-03-31,$8
2012-12-31,$6
2012-09-30,$4
2012-06-30,$3
2012-03-31,$4
2011-12-31,$4
2011-09-30,$3
2011-06-30,$1
2011-03-31,$9
2010-12-31,$9
2010-09-30,$6
2010-06-30,$-6
2010-03-31,$1
2009-12-31,$0
2009-09-30,$1
2009-06-30,$1
2009-03-31,$3
