CoreCivic Quarterly Net Income (Millions of US $),CoreCivic Quarterly Net Income (Millions of US $).1
2024-06-30,$19
2024-03-31,$10
2023-12-31,$26
2023-09-30,$14
2023-06-30,$15
2023-03-31,$12
2022-12-31,$24
2022-09-30,$68
2022-06-30,$11
2022-03-31,$19
2021-12-31,$28
2021-09-30,$30
2021-06-30,$16
2021-03-31,$-126
2020-12-31,$-27
2020-09-30,$27
2020-06-30,$22
2020-03-31,$32
2019-12-31,$42
2019-09-30,$49
2019-06-30,$49
2019-03-31,$49
2018-12-31,$41
2018-09-30,$41
2018-06-30,$39
2018-03-31,$38
2017-12-31,$41
2017-09-30,$41
2017-06-30,$45
2017-03-31,$50
2016-12-31,$61
2016-09-30,$55
2016-06-30,$58
2016-03-31,$46
2015-12-31,$49
2015-09-30,$51
2015-06-30,$65
2015-03-31,$57
2014-12-31,$30
2014-09-30,$58
2014-06-30,$56
2014-03-31,$52
2013-12-31,$47
2013-09-30,$52
2013-06-30,$20
2013-03-31,$181
2012-12-31,$45
2012-09-30,$42
2012-06-30,$37
2012-03-31,$32
2011-12-31,$41
2011-09-30,$39
2011-06-30,$42
2011-03-31,$40
2010-12-31,$44
2010-09-30,$42
2010-06-30,$37
2010-03-31,$35
2009-12-31,$42
2009-09-30,$45
2009-06-30,$33
2009-03-31,$35
