Sociedad Quimica Y Minera S.A Quarterly Net Income (Millions of US $),Sociedad Quimica Y Minera S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$434
2024-03-31,$-870
2023-12-31,"$-1,636"
2023-09-30,$479
2023-06-30,"$1,330"
2023-03-31,$750
2022-12-31,"$1,151"
2022-09-30,"$1,100"
2022-06-30,$859
2022-03-31,$796
2021-12-31,$322
2021-09-30,$106
2021-06-30,$90
2021-03-31,$68
2020-12-31,$67
2020-09-30,$2
2020-06-30,$51
2020-03-31,$45
2019-12-31,$67
2019-09-30,$61
2019-06-30,$70
2019-03-31,$81
2018-12-31,$109
2018-09-30,$84
2018-06-30,$134
2018-03-31,$114
2017-12-31,$110
2017-09-30,$113
2017-06-30,$101
2017-03-31,$103
2016-12-31,$81
2016-09-30,$56
2016-06-30,$83
2016-03-31,$59
2015-12-31,$52
2015-09-30,$14
2015-06-30,$83
2015-03-31,$72
2014-12-31,$18
2014-09-30,$66
2014-06-30,$71
2014-03-31,$81
2013-12-31,$69
2013-09-30,$139
2013-06-30,$107
2013-03-31,$152
2012-12-31,$142
2012-09-30,$165
2012-06-30,$192
2012-03-31,$150
2011-12-31,$159
2011-09-30,$143
2011-06-30,$132
2011-03-31,$111
2010-12-31,$106
2010-09-30,$95
2010-06-30,$105
2010-03-31,$76
2009-12-31,$75
2009-09-30,$86
2009-06-30,$85
2009-03-31,$87
