Clearway Energy Quarterly Net Income (Millions of US $),Clearway Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$51
2024-03-31,$-2
2023-12-31,$37
2023-09-30,$4
2023-06-30,$38
2023-03-31,
2022-12-31,$12
2022-09-30,$32
2022-06-30,$570
2022-03-31,$-32
2021-12-31,$-8
2021-09-30,$21
2021-06-30,$35
2021-03-31,$3
2020-12-31,$-25
2020-09-30,$32
2020-06-30,$47
2020-03-31,$-29
2019-12-31,$-6
2019-09-30,$39
2019-06-30,$-24
2019-03-31,$-20
2018-12-31,$-68
2018-09-30,$21
2018-06-30,$79
2018-03-31,$16
2017-12-31,$-70
2017-09-30,$29
2017-06-30,$28
2017-03-31,$-3
2016-12-31,$-13
2016-09-30,$33
2016-06-30,$32
2016-03-31,$5
2015-12-31,$11
2015-09-30,$17
2015-06-30,$10
2015-03-31,$-5
2014-12-31,
2014-09-30,$6
2014-06-30,$6
2014-03-31,$4
2013-12-31,$-41
2013-09-30,$9
2013-06-30,$34
2013-03-31,$11
2012-12-31,$4
2012-09-30,$4
2012-06-30,$-1
2012-03-31,$5
2011-12-31,
2010-12-31,
