National Steel Quarterly Net Income (Millions of US $),National Steel Quarterly Net Income (Millions of US $).1
2024-06-30,$-43
2024-03-31,$-97
2023-12-31,$39
2023-09-30,$19
2023-06-30,$37
2023-03-31,$-158
2022-12-31,$-45
2022-09-30,$45
2022-06-30,$40
2022-03-31,$261
2021-12-31,$-65
2021-09-30,$254
2021-06-30,"$1,041"
2021-03-31,"$1,043"
2020-12-31,$714
2020-09-30,$235
2020-06-30,$83
2020-03-31,$-296
2019-12-31,$167
2019-09-30,$-220
2019-06-30,$483
2019-03-31,$23
2018-12-31,$408
2018-09-30,$191
2018-06-30,$331
2018-03-31,$458
2017-12-31,$84
2017-09-30,$81
2017-06-30,$-199
2017-03-31,$37
2016-12-31,$-9
2016-09-30,$-33
2016-06-30,$-12
2016-03-31,$-214
2015-12-31,$617
2015-09-30,$-152
2015-06-30,$-200
2015-03-31,$127
2014-12-31,$21
2014-09-30,$-97
2014-06-30,$10
2014-03-31,$23
2013-12-31,$-208
2013-09-30,$216
2013-06-30,$240
2013-03-31,$14
2012-12-31,$164
2012-09-30,$84
2012-06-30,$-509
2012-03-31,$63
2011-12-31,$452
2011-09-30,$645
2011-06-30,$714
2011-03-31,$276
2010-12-31,$272
2010-09-30,$421
2010-06-30,$496
2010-03-31,$271
2009-12-31,$408
2009-09-30,$663
2009-06-30,$183
2009-03-31,$159
