ICON Quarterly Net Income (Millions of US $),ICON Quarterly Net Income (Millions of US $).1
2024-06-30,$147
2024-03-31,$187
2023-12-31,$216
2023-09-30,$164
2023-06-30,$116
2023-03-31,$117
2022-12-31,$117
2022-09-30,$160
2022-06-30,$116
2022-03-31,$112
2021-12-31,$76
2021-09-30,$-94
2021-06-30,$74
2021-03-31,$97
2020-12-31,$101
2020-09-30,$92
2020-06-30,$48
2020-03-31,$92
2019-12-31,$99
2019-09-30,$95
2019-06-30,$92
2019-03-31,$88
2018-12-31,$88
2018-09-30,$85
2018-06-30,$72
2018-03-31,$78
2017-12-31,$71
2017-09-30,$74
2017-06-30,$65
2017-03-31,$71
2016-12-31,$74
2016-09-30,$64
2016-06-30,$61
2016-03-31,$63
2015-12-31,$64
2015-09-30,$62
2015-06-30,$59
2015-03-31,$56
2014-12-31,$54
2014-09-30,$50
2014-06-30,$41
2014-03-31,$36
2013-12-31,$33
2013-09-30,$28
2013-06-30,$22
2013-03-31,$19
2012-12-31,$21
2012-09-30,$18
2012-06-30,$13
2012-03-31,$9
2011-12-31,$4
2011-09-30,$-3
2011-06-30,$13
2011-03-31,$8
2010-12-31,$22
2010-09-30,$20
2010-06-30,$23
2010-03-31,$22
2009-12-31,$31
2009-09-30,$24
2009-06-30,$19
2009-03-31,$21
