Teradata Quarterly Net Income (Millions of US $),Teradata Quarterly Net Income (Millions of US $).1
2024-06-30,$37
2024-03-31,$20
2023-12-31,$-7
2023-09-30,$12
2023-06-30,$17
2023-03-31,$40
2022-12-31,$-7
2022-09-30,$8
2022-06-30,$-4
2022-03-31,$36
2021-12-31,$33
2021-09-30,$17
2021-06-30,$44
2021-03-31,$53
2020-12-31,$5
2020-09-30,$-1
2020-06-30,$-43
2020-03-31,$168
2019-12-31,$-19
2019-09-30,$10
2019-06-30,$-1
2019-03-31,$-10
2018-12-31,$15
2018-09-30,$18
2018-06-30,$4
2018-03-31,$-7
2017-12-31,$-74
2017-09-30,$13
2017-06-30,$-4
2017-03-31,$-2
2016-12-31,$58
2016-09-30,$49
2016-06-30,$64
2016-03-31,$-46
2015-12-31,$-49
2015-09-30,$78
2015-06-30,$-265
2015-03-31,$22
2014-12-31,$118
2014-09-30,$94
2014-06-30,$96
2014-03-31,$59
2013-12-31,$112
2013-09-30,$98
2013-06-30,$108
2013-03-31,$59
2012-12-31,$112
2012-09-30,$104
2012-06-30,$112
2012-03-31,$91
2011-12-31,$98
2011-09-30,$87
2011-06-30,$103
2011-03-31,$65
2010-12-31,$85
2010-09-30,$75
2010-06-30,$74
2010-03-31,$67
2009-12-31,$84
2009-09-30,$63
2009-06-30,$62
2009-03-31,$45
