Accenture Quarterly Net Income (Millions of US $),Accenture Quarterly Net Income (Millions of US $).1
2024-05-31,"$1,932"
2024-02-29,"$1,675"
2023-11-30,"$1,973"
2023-08-31,"$1,373"
2023-05-31,"$2,010"
2023-02-28,"$1,524"
2022-11-30,"$1,965"
2022-08-31,"$1,665"
2022-05-31,"$1,786"
2022-02-28,"$1,635"
2021-11-30,"$1,791"
2021-08-31,"$1,416"
2021-05-31,"$1,549"
2021-02-28,"$1,441"
2020-11-30,"$1,500"
2020-08-31,"$1,288"
2020-05-31,"$1,228"
2020-02-29,"$1,235"
2019-11-30,"$1,357"
2019-08-31,"$1,130"
2019-05-31,"$1,250"
2019-02-28,"$1,124"
2018-11-30,"$1,275"
2018-08-31,"$1,030"
2018-05-31,"$1,043"
2018-02-28,$864
2017-11-30,"$1,124"
2017-08-31,$932
2017-05-31,$669
2017-02-28,$839
2016-11-30,"$1,004"
2016-08-31,"$1,069"
2016-05-31,$897
2016-02-29,"$1,327"
2015-11-30,$819
2015-08-31,$738
2015-05-31,$794
2015-02-28,$691
2014-11-30,$832
2014-08-31,$701
2014-05-31,$817
2014-02-28,$671
2013-11-30,$752
2013-08-31,$671
2013-05-31,$810
2013-02-28,"$1,102"
2012-11-30,$699
2012-08-31,$578
2012-05-31,$689
2012-02-29,$644
2011-11-30,$642
2011-08-31,$612
2011-05-31,$628
2011-02-28,$503
2010-11-30,$535
2010-08-31,$445
2010-05-31,$491
2010-02-28,$400
2009-11-30,$445
2009-08-31,$255
2009-05-31,$444
2009-02-28,$411
