Adient Quarterly Net Income (Millions of US $),Adient Quarterly Net Income (Millions of US $).1
2024-06-30,$-11
2024-03-31,$-70
2023-12-31,$20
2023-09-30,$135
2023-06-30,$73
2023-03-31,$-15
2022-12-31,$12
2022-09-30,$45
2022-06-30,$-30
2022-03-31,$-81
2021-12-31,$-54
2021-09-30,$960
2021-06-30,$-71
2021-03-31,$69
2020-12-31,$150
2020-09-30,$-36
2020-06-30,$-325
2020-03-31,$-19
2019-12-31,$-167
2019-09-30,$-4
2019-06-30,$-321
2019-03-31,$-149
2018-12-31,$-17
2018-09-30,"$-1,355"
2018-06-30,$54
2018-03-31,$-168
2017-12-31,$-216
2017-09-30,$344
2017-06-30,$201
2017-03-31,$190
2016-12-31,$142
2016-09-30,$-890
2016-06-30,$-14
2016-03-31,$-779
2015-12-31,$137
2015-09-30,
2014-09-30,
