CNO Financial Quarterly Net Income (Millions of US $),CNO Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$116
2024-03-31,$112
2023-12-31,$36
2023-09-30,$167
2023-06-30,$74
2023-03-31,$-1
2022-12-31,$38
2022-09-30,$176
2022-06-30,$233
2022-03-31,$183
2021-12-31,$245
2021-09-30,$100
2021-06-30,$78
2021-03-31,$147
2020-12-31,$112
2020-09-30,$129
2020-06-30,$82
2020-03-31,$-21
2019-12-31,$278
2019-09-30,$42
2019-06-30,$38
2019-03-31,$52
2018-12-31,$28
2018-09-30,$-530
2018-06-30,$102
2018-03-31,$84
2017-12-31,$-71
2017-09-30,$101
2017-06-30,$83
2017-03-31,$62
2016-12-31,$234
2016-09-30,$19
2016-06-30,$60
2016-03-31,$46
2015-12-31,$137
2015-09-30,$34
2015-06-30,$47
2015-03-31,$53
2014-12-31,$84
2014-09-30,$117
2014-06-30,$78
2014-03-31,$-228
2013-12-31,$106
2013-09-30,$283
2013-06-30,$77
2013-03-31,$12
2012-12-31,$101
2012-09-30,$-5
2012-06-30,$66
2012-03-31,$59
2011-12-31,$64
2011-09-30,$180
2011-06-30,$46
2011-03-31,$45
2010-12-31,$124
2010-09-30,$49
2010-06-30,$33
2010-03-31,$34
2009-12-31,$18
2009-09-30,$15
2009-06-30,$28
2009-03-31,$25
