DNOW Quarterly Net Income (Millions of US $),DNOW Quarterly Net Income (Millions of US $).1
2024-06-30,$24
2024-03-31,$21
2023-12-31,$143
2023-09-30,$35
2023-06-30,$34
2023-03-31,$31
2022-12-31,$31
2022-09-30,$40
2022-06-30,$25
2022-03-31,$30
2021-12-31,$12
2021-09-30,$5
2021-06-30,$-2
2021-03-31,$-10
2020-12-31,$-44
2020-09-30,$-22
2020-06-30,$-30
2020-03-31,$-331
2019-12-31,$-139
2019-09-30,$10
2019-06-30,$14
2019-03-31,$18
2018-12-31,$16
2018-09-30,$20
2018-06-30,$14
2018-03-31,$2
2017-12-31,$-3
2017-09-30,$-9
2017-06-30,$-17
2017-03-31,$-23
2016-12-31,$-71
2016-09-30,$-56
2016-06-30,$-44
2016-03-31,$-63
2015-12-31,$-249
2015-09-30,$-224
2015-06-30,$-19
2015-03-31,$-10
2014-12-31,$15
2014-09-30,$32
2014-06-30,$27
2014-03-31,$41
2013-12-31,$34
2013-09-30,$39
2013-06-30,$33
2013-03-31,$41
2012-12-31,
2011-12-31,
