HA Sustainable Infrastructure Capital Quarterly Net Income (Millions of US $),HA Sustainable Infrastructure Capital Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$123
2023-12-31,$90
2023-09-30,$21
2023-06-30,$14
2023-03-31,$24
2022-12-31,$-20
2022-09-30,$35
2022-06-30,$-18
2022-03-31,$45
2021-12-31,$62
2021-09-30,$-3
2021-06-30,$16
2021-03-31,$51
2020-12-31,$25
2020-09-30,$21
2020-06-30,$12
2020-03-31,$24
2019-12-31,$46
2019-09-30,$9
2019-06-30,$13
2019-03-31,$14
2018-12-31,$9
2018-09-30,$16
2018-06-30,$17
2018-03-31,$-1
2017-12-31,$3
2017-09-30,$8
2017-06-30,$12
2017-03-31,$7
2016-12-31,$3
2016-09-30,$3
2016-06-30,$4
2016-03-31,$3
2015-12-31,$3
2015-09-30,$2
2015-06-30,$1
2015-03-31,$2
2014-12-31,$2
2014-09-30,$2
2014-06-30,$3
2014-03-31,$3
2013-12-31,$-7
2013-09-30,$2
2013-06-30,$-5
2013-03-31,$-1
2012-12-31,$1
2012-09-30,$6
2012-06-30,$-2
2012-03-31,$-0
2011-12-31,$0
2011-09-30,
2010-09-30,
