CVR Energy Quarterly Net Income (Millions of US $),CVR Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$21
2024-03-31,$82
2023-12-31,$91
2023-09-30,$353
2023-06-30,$130
2023-03-31,$195
2022-12-31,$111
2022-09-30,$93
2022-06-30,$165
2022-03-31,$94
2021-12-31,$-14
2021-09-30,$84
2021-06-30,$-6
2021-03-31,$-39
2020-12-31,$-68
2020-09-30,$-96
2020-06-30,$-5
2020-03-31,$-87
2019-12-31,$44
2019-09-30,$119
2019-06-30,$116
2019-03-31,$101
2018-12-31,$75
2018-09-30,$81
2018-06-30,$43
2018-03-31,$60
2017-12-31,$230
2017-09-30,$22
2017-06-30,$-11
2017-03-31,$22
2016-12-31,$7
2016-09-30,$5
2016-06-30,$28
2016-03-31,$-16
2015-12-31,$-45
2015-09-30,$58
2015-06-30,$102
2015-03-31,$55
2014-12-31,$-44
2014-09-30,$8
2014-06-30,$84
2014-03-31,$127
2013-12-31,$-22
2013-09-30,$44
2013-06-30,$183
2013-03-31,$165
2012-12-31,$40
2012-09-30,$209
2012-06-30,$155
2012-03-31,$-25
2011-12-31,$66
2011-09-30,$109
2011-06-30,$125
2011-03-31,$46
2010-12-31,$2
2010-09-30,$23
2010-06-30,$1
2010-03-31,$-12
2009-12-31,$9
2009-09-30,$-13
2009-06-30,$43
2009-03-31,$31
