PPDAI Group Quarterly Net Income (Millions of US $),PPDAI Group Quarterly Net Income (Millions of US $).1
2024-06-30,$76
2024-03-31,$73
2023-12-31,$74
2023-09-30,$78
2023-06-30,$76
2023-03-31,$101
2022-12-31,$73
2022-09-30,$84
2022-06-30,$87
2022-03-31,$84
2021-12-31,$-224
2021-09-30,$99
2021-06-30,$97
2021-03-31,$90
2020-12-31,$90
2020-09-30,$89
2020-06-30,$65
2020-03-31,$59
2019-12-31,$56
2019-09-30,$84
2019-06-30,$96
2019-03-31,$105
2018-09-30,$95
2018-06-30,$92
2018-03-31,$70
2017-09-30,$-42
2017-06-30,
2016-12-31,
