Orix Corp Ads Quarterly Net Income (Millions of US $),Orix Corp Ads Quarterly Net Income (Millions of US $).1
2024-06-30,$555
2024-03-31,$860
2023-12-31,$620
2023-09-30,$449
2023-06-30,$460
2023-03-31,$477
2022-12-31,$636
2022-09-30,$431
2022-06-30,$476
2022-03-31,$874
2021-12-31,$569
2021-09-30,$741
2021-06-30,$593
2021-03-31,$469
2020-12-31,$462
2020-09-30,$412
2020-06-30,$465
2020-03-31,$535
2019-12-31,$784
2019-09-30,$836
2019-06-30,$630
2019-03-31,$780
2018-12-31,$722
2018-09-30,$676
2018-06-30,$736
2017-12-31,$805
2017-09-30,$686
2017-03-31,$453
2016-12-31,$690
2016-09-30,$641
2016-06-30,$758
2016-03-31,$391
2015-12-31,$445
2015-09-30,$654
2015-06-30,$668
2015-03-31,$281
2014-12-31,$393
2014-09-30,$708
2014-06-30,$672
2014-03-31,$702
2013-12-31,$369
2013-09-30,$358
2013-06-30,$455
2013-03-31,$264
2012-12-31,$374
2012-09-30,$318
2012-06-30,$438
2012-03-31,$135
2011-12-31,$302
2011-09-30,$280
2011-06-30,$293
2011-03-31,$257
2010-12-31,$217
2010-09-30,$206
2010-06-30,$186
2010-03-31,$120
2009-12-31,$80
2009-09-30,$144
2009-06-30,$79
2009-03-31,$163
