EastGroup Properties Quarterly Net Income (Millions of US $),EastGroup Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$55
2024-03-31,$59
2023-12-31,$63
2023-09-30,$49
2023-06-30,$43
2023-03-31,$45
2022-12-31,$39
2022-09-30,$38
2022-06-30,$46
2022-03-31,$64
2021-12-31,$72
2021-09-30,$31
2021-06-30,$28
2021-03-31,$27
2020-12-31,$37
2020-09-30,$24
2020-06-30,$23
2020-03-31,$23
2019-12-31,$50
2019-09-30,$23
2019-06-30,$27
2019-03-31,$23
2018-12-31,$19
2018-09-30,$23
2018-06-30,$18
2018-03-31,$29
2017-12-31,$18
2017-09-30,$16
2017-06-30,$37
2017-03-31,$13
2016-12-31,$15
2016-09-30,$15
2016-06-30,$44
2016-03-31,$22
2015-12-31,$11
2015-09-30,$12
2015-06-30,$15
2015-03-31,$10
2014-12-31,$13
2014-09-30,$18
2014-06-30,$9
2014-03-31,$8
2013-12-31,$9
2013-09-30,$8
2013-06-30,$8
2013-03-31,$7
2012-12-31,$12
2012-09-30,$7
2012-06-30,$8
2012-03-31,$5
2011-12-31,$6
2011-09-30,$6
2011-06-30,$5
2011-03-31,$5
2010-12-31,$5
2010-09-30,$4
2010-06-30,$4
2010-03-31,$5
2009-12-31,$6
2009-09-30,$6
2009-06-30,$7
2009-03-31,$8
