W.R Berkley Quarterly Net Income (Millions of US $),W.R Berkley Quarterly Net Income (Millions of US $).1
2024-06-30,$372
2024-03-31,$442
2023-12-31,$397
2023-09-30,$334
2023-06-30,$356
2023-03-31,$294
2022-12-31,$382
2022-09-30,$229
2022-06-30,$179
2022-03-31,$591
2021-12-31,$294
2021-09-30,$261
2021-06-30,$237
2021-03-31,$230
2020-12-31,$312
2020-09-30,$152
2020-06-30,$71
2020-03-31,$-4
2019-12-31,$119
2019-09-30,$165
2019-06-30,$217
2019-03-31,$181
2018-12-31,$132
2018-09-30,$162
2018-06-30,$180
2018-03-31,$166
2017-12-31,$155
2017-09-30,$162
2017-06-30,$109
2017-03-31,$123
2016-12-31,$153
2016-09-30,$221
2016-06-30,$109
2016-03-31,$120
2015-12-31,$110
2015-09-30,$153
2015-06-30,$123
2015-03-31,$118
2014-12-31,$111
2014-09-30,$189
2014-06-30,$180
2014-03-31,$170
2013-12-31,$130
2013-09-30,$137
2013-06-30,$116
2013-03-31,$117
2012-12-31,$165
2012-09-30,$101
2012-06-30,$109
2012-03-31,$135
2011-12-31,$117
2011-09-30,$76
2011-06-30,$82
2011-03-31,$116
2010-12-31,$124
2010-09-30,$94
2010-06-30,$110
2010-03-31,$119
2009-12-31,$134
2009-09-30,$98
2009-06-30,$97
2009-03-31,$-20
