VEON Quarterly Net Income (Millions of US $),VEON Quarterly Net Income (Millions of US $).1
2024-06-30,$68
2024-03-31,$57
2023-12-31,
2023-09-30,$448
2023-06-30,$250
2023-03-31,$343
2022-12-31,$355
2022-09-30,$-512
2022-06-30,$136
2022-03-31,$-141
2021-12-31,$299
2021-09-30,$145
2021-06-30,$100
2021-03-31,$130
2020-12-31,$7
2020-09-30,$-620
2020-06-30,$156
2020-03-31,$108
2019-12-31,$21
2019-09-30,$35
2019-06-30,$70
2019-03-31,$495
2018-12-31,$-19
2018-09-30,$855
2018-06-30,$-142
2018-03-31,$-112
2017-12-31,$-338
2017-09-30,$116
2017-06-30,$-278
2017-03-31,$-5
2016-12-31,"$1,557"
2016-09-30,$445
2016-06-30,$137
2016-03-31,$189
2015-12-31,$58
2015-09-30,"$-1,005"
2015-06-30,$108
2015-03-31,$184
2014-12-31,$-935
2014-09-30,$104
2014-06-30,$100
2014-03-31,$39
2013-12-31,"$-2,660"
2013-09-30,$255
2013-06-30,$573
2013-03-31,$408
2012-12-31,$801
2012-09-30,$538
2012-06-30,$488
2012-03-31,$318
2011-12-31,$-386
2011-09-30,$104
2011-06-30,$239
2011-03-31,$590
2010-12-31,$461
2010-09-30,$496
2010-06-30,$335
2010-03-31,$412
2009-12-31,$283
2009-09-30,$434
2009-06-30,$708
2009-03-31,$-267
