Newmark Quarterly Net Income (Millions of US $),Newmark Quarterly Net Income (Millions of US $).1
2024-06-30,$14
2024-03-31,$-16
2023-12-31,$37
2023-09-30,$10
2023-06-30,$6
2023-03-31,$-10
2022-12-31,$6
2022-09-30,$28
2022-06-30,$49
2022-03-31,$0
2021-12-31,$149
2021-09-30,$129
2021-06-30,$440
2021-03-31,$33
2020-12-31,$-4
2020-09-30,$75
2020-06-30,$0
2020-03-31,$8
2019-12-31,$-11
2019-09-30,$89
2019-06-30,$23
2019-03-31,$17
2018-12-31,$18
2018-09-30,$68
2018-06-30,$1
2018-03-31,$20
2017-12-31,$-46
2017-09-30,$99
2017-06-30,$55
2017-03-31,$37
2016-12-31,
2015-12-31,
