Plug Power Quarterly Net Income (Millions of US $),Plug Power Quarterly Net Income (Millions of US $).1
2024-06-30,$-262
2024-03-31,$-296
2023-12-31,$-642
2023-09-30,$-283
2023-06-30,$-236
2023-03-31,$-207
2022-12-31,$-223
2022-09-30,$-171
2022-06-30,$-173
2022-03-31,$-156
2021-12-31,$-193
2021-09-30,$-107
2021-06-30,$-100
2021-03-31,$-61
2020-12-31,$-484
2020-09-30,$-65
2020-06-30,$-9
2020-03-31,$-37
2019-12-31,$-18
2019-09-30,$-18
2019-06-30,$-18
2019-03-31,$-31
2018-12-31,$-24
2018-09-30,$-16
2018-06-30,$-26
2018-03-31,$-20
2017-12-31,$-22
2017-09-30,$-41
2017-06-30,$-43
2017-03-31,$-24
2016-12-31,$-19
2016-09-30,$-13
2016-06-30,$-13
2016-03-31,$-12
2015-12-31,$-25
2015-09-30,$-10
2015-06-30,$-9
2015-03-31,$-11
2014-12-31,$-7
2014-09-30,$-9
2014-06-30,$4
2014-03-31,$-76
2013-12-31,$-29
2013-09-30,$-16
2013-06-30,$-9
2013-03-31,$-9
2012-12-31,$-8
2012-09-30,$-10
2012-06-30,$-6
2012-03-31,$-7
2011-12-31,$-7
2011-09-30,$-6
2011-06-30,$-7
2011-03-31,$-7
2010-12-31,$-9
2010-09-30,$-9
2010-06-30,$-19
2010-03-31,$-11
2009-12-31,$-12
2009-09-30,$-10
2009-06-30,$-10
2009-03-31,$-8
