Rogers Communication Quarterly Net Income (Millions of US $),Rogers Communication Quarterly Net Income (Millions of US $).1
2024-06-30,$288
2024-03-31,$190
2023-12-31,$244
2023-09-30,$-74
2023-06-30,$81
2023-03-31,$378
2022-12-31,$378
2022-09-30,$284
2022-06-30,$320
2022-03-31,$310
2021-12-31,$323
2021-09-30,$389
2021-06-30,$246
2021-03-31,$285
2020-12-31,$340
2020-09-30,$384
2020-06-30,$201
2020-03-31,$262
2019-12-31,$354
2019-09-30,$449
2019-06-30,$442
2019-03-31,$294
2018-12-31,$381
2018-09-30,$455
2018-06-30,$417
2018-03-31,$336
2017-12-31,$330
2017-09-30,$373
2017-06-30,$395
2017-03-31,$222
2016-12-31,$-25
2016-09-30,$169
2016-06-30,$306
2016-03-31,$181
2015-12-31,$224
2015-09-30,$355
2015-06-30,$295
2015-03-31,$209
2014-12-31,$239
2014-09-30,$296
2014-06-30,$377
2014-03-31,$278
2013-12-31,$289
2013-09-30,$446
2013-06-30,$518
2013-03-31,$344
2012-12-31,$528
2012-09-30,$469
2012-06-30,$393
2012-03-31,$308
2011-12-31,$328
2011-09-30,$502
2011-06-30,$434
2011-03-31,$351
2010-12-31,$331
2010-09-30,$363
2010-06-30,$451
2010-03-31,$380
2009-12-31,$310
2009-09-30,$459
2009-06-30,$374
2009-03-31,$309
