First Interstate BancSystem Quarterly Net Income (Millions of US $),First Interstate BancSystem Quarterly Net Income (Millions of US $).1
2024-06-30,$60
2024-03-31,$58
2023-12-31,$62
2023-09-30,$73
2023-06-30,$67
2023-03-31,$56
2022-12-31,$86
2022-09-30,$86
2022-06-30,$64
2022-03-31,$-33
2021-12-31,$51
2021-09-30,$47
2021-06-30,$43
2021-03-31,$51
2020-12-31,$47
2020-09-30,$48
2020-06-30,$37
2020-03-31,$29
2019-12-31,$52
2019-09-30,$49
2019-06-30,$38
2019-03-31,$42
2018-12-31,$40
2018-09-30,$41
2018-06-30,$42
2018-03-31,$37
2017-12-31,$34
2017-09-30,$27
2017-06-30,$22
2017-03-31,$23
2016-12-31,$25
2016-09-30,$25
2016-06-30,$26
2016-03-31,$20
2015-12-31,$23
2015-09-30,$20
2015-06-30,$22
2015-03-31,$21
2014-12-31,$23
2014-09-30,$19
2014-06-30,$21
2014-03-31,$21
2013-12-31,$21
2013-09-30,$24
2013-06-30,$22
2013-03-31,$20
2012-12-31,$16
2012-09-30,$15
2012-06-30,$12
2012-03-31,$11
2011-12-31,$12
2011-09-30,$11
2011-06-30,$9
2011-03-31,$9
2010-12-31,$10
2010-09-30,$8
2010-06-30,$6
2010-03-31,$10
2009-12-31,$11
2009-09-30,$11
2009-06-30,$12
2009-03-31,$16
