Quanex Building Products Quarterly Net Income (Millions of US $),Quanex Building Products Quarterly Net Income (Millions of US $).1
2024-07-31,$25
2024-04-30,$15
2024-01-31,$6
2023-10-31,$27
2023-07-31,$32
2023-04-30,$22
2023-01-31,$2
2022-10-31,$25
2022-07-31,$26
2022-04-30,$27
2022-01-31,$11
2021-10-31,$21
2021-07-31,$14
2021-04-30,$15
2021-01-31,$8
2020-10-31,$22
2020-07-31,$11
2020-04-30,$6
2020-01-31,$0
2019-10-31,$-31
2019-07-31,$12
2019-04-30,$-24
2019-01-31,$-4
2018-10-31,$7
2018-07-31,$11
2018-04-30,$4
2018-01-31,$5
2017-10-31,$11
2017-07-31,$10
2017-04-30,$1
2017-01-31,$-4
2016-10-31,$5
2016-07-31,$-4
2016-04-30,$4
2016-01-31,$-7
2015-10-31,$10
2015-07-31,$7
2015-04-30,$2
2015-01-31,$-3
2014-10-31,$5
2014-07-31,$8
2014-04-30,$20
2014-01-31,$-4
2013-10-31,$-1
2013-07-31,$5
2013-04-30,$-7
2013-01-31,$-8
2012-10-31,$1
2012-07-31,$2
2012-04-30,$-12
2012-01-31,$-7
2011-10-31,$6
2011-07-31,$9
2011-04-30,$-1
2011-01-31,$-5
2010-10-31,$8
2010-07-31,$10
2010-04-30,$4
2010-01-31,$0
2009-10-31,$15
2009-07-31,$8
2009-04-30,$-40
2009-01-31,$-120
