Essential Properties Realty Trust Quarterly Net Income (Millions of US $),Essential Properties Realty Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$47
2023-12-31,$49
2023-09-30,$46
2023-06-30,$53
2023-03-31,$43
2022-12-31,$35
2022-09-30,$36
2022-06-30,$36
2022-03-31,$27
2021-12-31,$30
2021-09-30,$28
2021-06-30,$23
2021-03-31,$15
2020-12-31,$6
2020-09-30,$12
2020-06-30,$10
2020-03-31,$14
2019-12-31,$15
2019-09-30,$13
2019-06-30,$8
2019-03-31,$6
2018-12-31,$6
2018-09-30,$5
2018-06-30,$3
2018-03-31,$1
2017-12-31,
2017-09-30,$1
2017-06-30,$2
2016-12-31,
