Middleby Quarterly Net Income (Millions of US $),Middleby Quarterly Net Income (Millions of US $).1
2024-06-30,$115
2024-03-31,$87
2023-12-31,$76
2023-09-30,$109
2023-06-30,$117
2023-03-31,$99
2022-12-31,$133
2022-09-30,$104
2022-06-30,$113
2022-03-31,$86
2021-12-31,$103
2021-09-30,$176
2021-06-30,$121
2021-03-31,$89
2020-12-31,$52
2020-09-30,$61
2020-06-30,$21
2020-03-31,$74
2019-12-31,$109
2019-09-30,$82
2019-06-30,$92
2019-03-31,$69
2018-12-31,$95
2018-09-30,$73
2018-06-30,$84
2018-03-31,$65
2017-12-31,$75
2017-09-30,$75
2017-06-30,$78
2017-03-31,$71
2016-12-31,$81
2016-09-30,$76
2016-06-30,$73
2016-03-31,$55
2015-12-31,$50
2015-09-30,$49
2015-06-30,$54
2015-03-31,$38
2014-12-31,$52
2014-09-30,$60
2014-06-30,$48
2014-03-31,$33
2013-12-31,$50
2013-09-30,$41
2013-06-30,$37
2013-03-31,$26
2012-12-31,$38
2012-09-30,$30
2012-06-30,$31
2012-03-31,$22
2011-12-31,$35
2011-09-30,$23
2011-06-30,$20
2011-03-31,$18
2010-12-31,$21
2010-09-30,$21
2010-06-30,$18
2010-03-31,$14
2009-12-31,$18
2009-09-30,$16
2009-06-30,$14
2009-03-31,$14
