Redfin Quarterly Net Income (Millions of US $),Redfin Quarterly Net Income (Millions of US $).1
2024-06-30,$-28
2024-03-31,$-67
2023-12-31,$-23
2023-09-30,$-19
2023-06-30,$-28
2023-03-31,$-61
2022-12-31,$-62
2022-09-30,$-91
2022-06-30,$-78
2022-03-31,$-92
2021-12-31,$-28
2021-09-30,$-21
2021-06-30,$-30
2021-03-31,$-38
2020-12-31,$13
2020-09-30,$32
2020-06-30,$-8
2020-03-31,$-60
2019-12-31,$-8
2019-09-30,$7
2019-06-30,$-13
2019-03-31,$-67
2018-12-31,$-12
2018-09-30,$3
2018-06-30,$3
2018-03-31,$-36
2017-12-31,$-2
2017-09-30,$-30
2017-06-30,$-107
2017-03-31,$-53
2016-12-31,
2016-09-30,$1
2016-06-30,$14
2015-12-31,
2014-12-31,
