Aaron's Holdings Quarterly Net Income (Millions of US $),Aaron's Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$22
2023-12-31,$19
2023-09-30,$35
2023-06-30,$37
2023-03-31,$48
2022-12-31,$36
2022-09-30,$16
2022-06-30,$19
2022-03-31,$27
2021-12-31,$38
2021-09-30,$57
2021-06-30,$69
2021-03-31,$79
2020-12-31,$41
2020-09-30,$109
2020-06-30,$68
2020-03-31,$-280
2019-12-31,$-107
2019-09-30,$40
2019-06-30,$43
2019-03-31,$56
2018-12-31,$62
2018-09-30,$44
2018-06-30,$39
2018-03-31,$52
2017-12-31,$178
2017-09-30,$25
2017-06-30,$36
2017-03-31,$53
2016-12-31,$22
2016-09-30,$29
2016-06-30,$39
2016-03-31,$50
2015-12-31,$22
2015-09-30,$24
2015-06-30,$41
2015-03-31,$49
2014-12-31,$22
2014-09-30,$9
2014-06-30,$9
2014-03-31,$38
2013-12-31,$23
2013-09-30,$21
2013-06-30,$26
2013-03-31,$51
2012-12-31,$37
2012-09-30,$29
2012-06-30,$36
2012-03-31,$71
2011-12-31,$31
2011-09-30,$28
2011-06-30,$11
2011-03-31,$44
2010-12-31,$31
2010-09-30,$26
2010-06-30,$24
2010-03-31,$37
2009-12-31,$25
2009-09-30,$25
2009-06-30,$28
2009-03-31,$35
